Nitrogen,Potassium,Phosphorous,Fertilizer Name
11,0,38,DAP
8,9,30,Fourteen-Thirty Five-Fourteen
6,19,21,Ten-Twenty Six-Twenty Six
41,0,0,Urea
9,10,30,Fourteen-Thirty Five-Fourteen
24,0,19,Twenty Eight-Twenty Eight
4,17,17,Ten-Twenty Six-Twenty Six
39,0,0,Urea
15,0,41,DAP
12,0,10,Twenty-Twenty
15,0,14,Twenty Eight-Twenty Eight
12,0,13,DAP
35,0,0,Seventeen-Seventeen-Seventeen
6,8,28,Urea
14,10,22,Twenty Eight-Twenty Eight
21,0,0,DAP
21,14,22,DAP
8,9,15,Twenty Eight-Twenty Eight
8,0,24,Ten-Twenty Six-Twenty Six
41,12,0,DAP
40,8,12,Fourteen-Thirty Five-Fourteen
23,0,13,Urea
11,17,38,Seventeen-Seventeen-Seventeen
35,0,37,Urea
15,0,39,Twenty-Twenty
38,0,0,Ten-Twenty Six-Twenty Six
11,0,19,DAP
13,0,38,Twenty Eight-Twenty Eight
14,0,10,Seventeen-Seventeen-Seventeen
23,0,0,Seventeen-Seventeen-Seventeen
10,0,9,Urea
10,14,22,DAP
38,0,0,Twenty-Twenty
10,0,24,Twenty-Twenty
12,0,40,DAP
7,12,18,Twenty Eight-Twenty Eight
14,17,30,Twenty Eight-Twenty Eight
42,10,0,Twenty Eight-Twenty Eight
42,0,0,Twenty Eight-Twenty Eight
6,0,0,Urea
8,0,21,Urea
21,0,29,Twenty-Twenty
42,8,28,Twenty-Twenty
13,0,18,Twenty Eight-Twenty Eight
8,13,0,Seventeen-Seventeen-Seventeen
23,0,19,DAP
21,0,22,Ten-Twenty Six-Twenty Six
39,0,0,DAP
9,0,16,Urea
4,0,9,Urea
9,0,14,DAP
14,17,0,Twenty-Twenty
21,0,39,Ten-Twenty Six-Twenty Six
15,0,19,Urea
11,0,0,Urea
23,0,38,Seventeen-Seventeen-Seventeen
42,0,9,Urea
11,0,31,Urea
11,19,29,DAP
24,0,31,Twenty-Twenty
12,0,15,Fourteen-Thirty Five-Fourteen
8,10,36,Twenty Eight-Twenty Eight
12,0,21,Ten-Twenty Six-Twenty Six
13,0,0,Twenty-Twenty
36,0,22,Ten-Twenty Six-Twenty Six
13,0,40,Twenty Eight-Twenty Eight
15,14,0,Twenty-Twenty
14,0,21,Fourteen-Thirty Five-Fourteen
13,0,0,DAP
8,0,29,Urea
13,13,31,Urea
23,0,19,Twenty Eight-Twenty Eight
10,0,30,Urea
12,0,31,Twenty Eight-Twenty Eight
21,0,35,Fourteen-Thirty Five-Fourteen
5,0,8,Twenty Eight-Twenty Eight
10,0,0,DAP
40,0,24,Twenty-Twenty
39,8,0,Ten-Twenty Six-Twenty Six
8,0,30,Fourteen-Thirty Five-Fourteen
12,0,35,Twenty-Twenty
41,7,18,Twenty Eight-Twenty Eight
23,0,35,Ten-Twenty Six-Twenty Six
11,0,12,Twenty-Twenty
10,12,22,Urea
23,0,21,Fourteen-Thirty Five-Fourteen
14,0,13,Urea
12,0,9,Fourteen-Thirty Five-Fourteen
23,0,18,Fourteen-Thirty Five-Fourteen
41,0,0,Twenty Eight-Twenty Eight
9,0,41,Urea
11,0,12,Fourteen-Thirty Five-Fourteen
23,0,21,Urea
7,17,29,DAP
38,9,30,Urea
8,0,0,Twenty-Twenty
24,0,0,Urea
38,17,15,Urea
23,0,0,Urea
12,0,0,Twenty-Twenty
12,7,29,Fourteen-Thirty Five-Fourteen
24,0,18,Urea
38,0,12,Twenty Eight-Twenty Eight
40,0,0,DAP
11,16,18,Twenty-Twenty
13,14,10,Urea
12,9,20,Fourteen-Thirty Five-Fourteen
11,0,24,Urea
9,0,15,Ten-Twenty Six-Twenty Six
12,0,37,DAP
9,9,24,Urea
23,0,28,Urea
24,0,12,Fourteen-Thirty Five-Fourteen
7,0,10,Twenty Eight-Twenty Eight
42,0,15,Fourteen-Thirty Five-Fourteen
7,0,0,Fourteen-Thirty Five-Fourteen
41,0,11,Urea
21,0,23,Fourteen-Thirty Five-Fourteen
21,0,14,Twenty-Twenty
24,0,41,Ten-Twenty Six-Twenty Six
39,0,0,DAP
10,0,13,DAP
12,0,30,Seventeen-Seventeen-Seventeen
24,0,0,Urea
22,0,0,Ten-Twenty Six-Twenty Six
39,0,37,Seventeen-Seventeen-Seventeen
12,0,14,Fourteen-Thirty Five-Fourteen
8,0,19,Fourteen-Thirty Five-Fourteen
24,0,41,Twenty-Twenty
12,10,35,Urea
12,18,31,Seventeen-Seventeen-Seventeen
21,0,24,DAP
10,0,41,Twenty Eight-Twenty Eight
35,0,28,Urea
36,0,30,Fourteen-Thirty Five-Fourteen
14,0,39,Ten-Twenty Six-Twenty Six
23,0,0,Twenty Eight-Twenty Eight
9,10,30,Twenty Eight-Twenty Eight
5,0,41,Ten-Twenty Six-Twenty Six
22,0,29,Seventeen-Seventeen-Seventeen
23,0,37,Twenty-Twenty
40,0,28,Twenty Eight-Twenty Eight
8,0,21,DAP
8,0,15,Fourteen-Thirty Five-Fourteen
12,10,31,Fourteen-Thirty Five-Fourteen
13,0,31,Fourteen-Thirty Five-Fourteen
21,0,13,Twenty Eight-Twenty Eight
14,0,0,Urea
42,17,37,Twenty Eight-Twenty Eight
11,0,0,DAP
39,10,9,Urea
12,9,17,Fourteen-Thirty Five-Fourteen
11,0,29,Urea
8,0,20,Ten-Twenty Six-Twenty Six
41,19,0,Urea
9,0,0,Fourteen-Thirty Five-Fourteen
36,0,21,Fourteen-Thirty Five-Fourteen
24,0,0,DAP
10,8,24,Urea
24,0,39,Urea
35,10,37,Urea
4,0,0,Twenty Eight-Twenty Eight
24,0,15,Fourteen-Thirty Five-Fourteen
14,0,22,Fourteen-Thirty Five-Fourteen
8,0,18,Ten-Twenty Six-Twenty Six
23,13,15,Twenty Eight-Twenty Eight
14,0,21,Twenty Eight-Twenty Eight
12,10,10,Ten-Twenty Six-Twenty Six
23,0,22,DAP
13,0,0,Fourteen-Thirty Five-Fourteen
9,0,21,Twenty Eight-Twenty Eight
13,0,30,Twenty Eight-Twenty Eight
37,0,19,Urea
12,0,19,Twenty-Twenty
5,0,14,Twenty Eight-Twenty Eight
9,0,0,Twenty Eight-Twenty Eight
9,0,30,Twenty-Twenty
9,0,38,Urea
12,0,29,DAP
9,0,0,Twenty-Twenty
9,0,0,DAP
21,0,13,DAP
9,0,20,Seventeen-Seventeen-Seventeen
41,0,29,Twenty Eight-Twenty Eight
39,9,29,Twenty-Twenty
13,0,15,Twenty Eight-Twenty Eight
8,0,0,Fourteen-Thirty Five-Fourteen
23,0,0,Seventeen-Seventeen-Seventeen
8,18,36,Urea
11,0,19,DAP
36,0,30,Urea
10,9,17,Twenty-Twenty
41,0,15,Urea
41,0,13,Urea
7,15,19,Ten-Twenty Six-Twenty Six
7,0,31,Twenty-Twenty
5,7,0,DAP
7,0,0,Urea
12,0,0,Seventeen-Seventeen-Seventeen
13,0,0,Ten-Twenty Six-Twenty Six
13,0,40,DAP
13,7,28,Urea
14,12,41,Twenty-Twenty
22,0,30,Twenty-Twenty
15,14,22,Urea
8,0,0,Urea
35,0,13,Twenty-Twenty
13,10,24,Urea
11,0,0,Fourteen-Thirty Five-Fourteen
8,0,19,Urea
12,0,11,Twenty Eight-Twenty Eight
14,0,30,Twenty-Twenty
39,10,0,Seventeen-Seventeen-Seventeen
39,0,22,DAP
10,18,18,DAP
41,0,13,Twenty-Twenty
8,0,13,Urea
4,0,0,Twenty Eight-Twenty Eight
39,0,0,Urea
36,0,12,Fourteen-Thirty Five-Fourteen
8,0,23,Urea
5,9,16,Twenty Eight-Twenty Eight
21,0,40,Urea
35,0,11,Urea
39,0,20,Urea
12,0,0,Fourteen-Thirty Five-Fourteen
39,0,0,DAP
23,9,15,Urea
10,17,37,Twenty-Twenty
38,18,0,Seventeen-Seventeen-Seventeen
21,0,39,Fourteen-Thirty Five-Fourteen
12,0,36,Twenty Eight-Twenty Eight
11,0,38,Twenty Eight-Twenty Eight
13,0,41,Twenty Eight-Twenty Eight
42,0,31,Urea
22,13,32,Twenty Eight-Twenty Eight
13,7,22,Twenty Eight-Twenty Eight
21,0,39,Fourteen-Thirty Five-Fourteen
9,0,0,Fourteen-Thirty Five-Fourteen
39,0,40,DAP
15,0,20,Fourteen-Thirty Five-Fourteen
15,14,20,Urea
23,10,0,DAP
24,0,14,Seventeen-Seventeen-Seventeen
15,0,39,Twenty Eight-Twenty Eight
12,19,0,Twenty-Twenty
9,0,18,Twenty Eight-Twenty Eight
21,18,0,Urea
7,0,40,Fourteen-Thirty Five-Fourteen
8,0,13,DAP
12,0,42,Twenty-Twenty
14,0,0,DAP
23,0,0,Twenty-Twenty
38,0,10,Twenty-Twenty
36,0,0,Urea
10,9,28,Fourteen-Thirty Five-Fourteen
8,0,0,Fourteen-Thirty Five-Fourteen
23,7,31,DAP
10,0,0,Urea
7,0,16,Twenty Eight-Twenty Eight
37,0,15,DAP
13,0,20,DAP
23,0,0,Urea
41,0,0,Twenty-Twenty
38,0,0,Ten-Twenty Six-Twenty Six
22,0,0,Twenty Eight-Twenty Eight
11,18,39,Urea
6,16,40,Twenty Eight-Twenty Eight
8,0,0,Urea
9,0,0,Ten-Twenty Six-Twenty Six
21,0,13,Twenty Eight-Twenty Eight
41,0,35,DAP
35,0,21,Twenty Eight-Twenty Eight
24,0,41,Twenty Eight-Twenty Eight
10,10,28,Urea
39,0,38,Ten-Twenty Six-Twenty Six
13,7,13,Twenty Eight-Twenty Eight
14,0,10,Twenty-Twenty
39,14,28,Urea
14,10,30,Twenty Eight-Twenty Eight
13,10,15,Urea
22,0,39,DAP
9,0,35,Twenty-Twenty
4,0,40,Twenty Eight-Twenty Eight
9,0,30,Seventeen-Seventeen-Seventeen
5,7,10,Seventeen-Seventeen-Seventeen
8,10,30,Twenty-Twenty
11,0,22,Urea
39,9,24,Twenty-Twenty
23,9,0,Seventeen-Seventeen-Seventeen
23,0,39,Urea
10,0,0,Twenty Eight-Twenty Eight
35,0,0,Urea
36,0,28,Twenty-Twenty
39,14,0,DAP
8,9,15,Urea
23,7,0,Fourteen-Thirty Five-Fourteen
24,0,23,Urea
35,0,12,DAP
37,0,0,Twenty-Twenty
8,0,24,Twenty Eight-Twenty Eight
13,9,21,Twenty-Twenty
42,0,37,Fourteen-Thirty Five-Fourteen
23,0,15,Seventeen-Seventeen-Seventeen
15,0,37,Fourteen-Thirty Five-Fourteen
22,0,0,DAP
11,0,20,DAP
37,13,29,Twenty-Twenty
13,0,13,DAP
37,0,0,Twenty Eight-Twenty Eight
39,0,0,Urea
8,0,9,Urea
13,0,0,Urea
15,17,0,Urea
21,0,0,Fourteen-Thirty Five-Fourteen
13,0,21,DAP
39,0,11,DAP
24,0,42,Twenty-Twenty
8,17,41,DAP
12,19,19,Twenty Eight-Twenty Eight
13,0,0,Urea
39,0,32,Twenty-Twenty
36,0,31,Seventeen-Seventeen-Seventeen
12,0,39,Twenty-Twenty
8,0,22,Urea
21,0,0,Ten-Twenty Six-Twenty Six
14,0,35,Twenty Eight-Twenty Eight
5,9,0,Urea
12,0,28,Fourteen-Thirty Five-Fourteen
23,10,0,Urea
9,0,0,Urea
10,0,23,DAP
22,0,15,Fourteen-Thirty Five-Fourteen
22,9,31,Twenty Eight-Twenty Eight
35,0,0,Fourteen-Thirty Five-Fourteen
12,14,13,Twenty-Twenty
39,0,9,Fourteen-Thirty Five-Fourteen
11,0,0,DAP
42,0,19,Seventeen-Seventeen-Seventeen
41,9,0,Urea
12,0,18,Twenty Eight-Twenty Eight
21,0,28,Fourteen-Thirty Five-Fourteen
23,0,0,Fourteen-Thirty Five-Fourteen
35,7,21,Twenty-Twenty
23,0,19,Twenty-Twenty
15,0,28,Seventeen-Seventeen-Seventeen
22,14,40,DAP
9,0,0,Fourteen-Thirty Five-Fourteen
14,0,14,Urea
24,8,19,Seventeen-Seventeen-Seventeen
12,0,14,Urea
15,10,13,Ten-Twenty Six-Twenty Six
41,17,13,Twenty-Twenty
12,0,38,Twenty-Twenty
14,0,29,Urea
42,0,16,DAP
9,0,20,Twenty Eight-Twenty Eight
23,0,10,Twenty Eight-Twenty Eight
10,0,0,Twenty Eight-Twenty Eight
37,0,30,Fourteen-Thirty Five-Fourteen
41,8,0,Seventeen-Seventeen-Seventeen
15,7,15,Fourteen-Thirty Five-Fourteen
8,15,19,Urea
22,0,30,Seventeen-Seventeen-Seventeen
42,10,40,Ten-Twenty Six-Twenty Six
11,0,15,Fourteen-Thirty Five-Fourteen
15,10,28,Twenty Eight-Twenty Eight
9,0,0,Fourteen-Thirty Five-Fourteen
10,0,30,Fourteen-Thirty Five-Fourteen
13,10,15,DAP
24,0,24,Ten-Twenty Six-Twenty Six
41,0,0,Seventeen-Seventeen-Seventeen
7,0,0,DAP
23,0,21,Fourteen-Thirty Five-Fourteen
12,0,14,Twenty Eight-Twenty Eight
13,0,21,Twenty-Twenty
22,0,20,Fourteen-Thirty Five-Fourteen
9,0,10,Urea
12,10,0,DAP
38,0,37,DAP
9,0,18,Twenty-Twenty
21,0,0,DAP
42,0,10,Twenty Eight-Twenty Eight
24,0,20,DAP
10,0,0,Seventeen-Seventeen-Seventeen
21,0,0,DAP
9,0,16,Twenty-Twenty
11,0,30,Twenty Eight-Twenty Eight
13,0,38,Twenty Eight-Twenty Eight
13,0,13,Twenty-Twenty
10,0,15,Fourteen-Thirty Five-Fourteen
8,0,40,Urea
35,0,24,Twenty-Twenty
23,0,13,DAP
13,0,24,Twenty Eight-Twenty Eight
23,0,21,Ten-Twenty Six-Twenty Six
22,0,0,DAP
24,0,32,Fourteen-Thirty Five-Fourteen
40,12,22,DAP
13,0,31,Fourteen-Thirty Five-Fourteen
22,9,35,Twenty Eight-Twenty Eight
23,0,8,Urea
41,18,14,DAP
39,0,9,DAP
11,0,32,Twenty-Twenty
7,0,0,Seventeen-Seventeen-Seventeen
41,0,28,DAP
37,0,41,Urea
12,0,29,Twenty-Twenty
21,0,22,Twenty Eight-Twenty Eight
39,13,0,Twenty-Twenty
23,0,35,Twenty-Twenty
11,0,21,Seventeen-Seventeen-Seventeen
12,0,33,Twenty Eight-Twenty Eight
39,0,38,Twenty-Twenty
13,8,9,Urea
5,0,0,DAP
13,9,0,Urea
39,0,0,Twenty Eight-Twenty Eight
7,0,21,DAP
14,0,21,Twenty Eight-Twenty Eight
41,0,30,Twenty Eight-Twenty Eight
9,17,14,DAP
5,0,40,Ten-Twenty Six-Twenty Six
22,0,30,Fourteen-Thirty Five-Fourteen
22,0,31,Twenty Eight-Twenty Eight
12,0,0,Fourteen-Thirty Five-Fourteen
7,0,19,Urea
12,0,21,Ten-Twenty Six-Twenty Six
8,0,0,Twenty Eight-Twenty Eight
21,0,19,Twenty Eight-Twenty Eight
41,0,19,DAP
40,0,36,Fourteen-Thirty Five-Fourteen
11,0,39,Fourteen-Thirty Five-Fourteen
35,0,41,DAP
12,0,0,Urea
24,0,30,Urea
23,0,0,Twenty Eight-Twenty Eight
39,0,0,Seventeen-Seventeen-Seventeen
12,17,13,Twenty Eight-Twenty Eight
41,0,0,Fourteen-Thirty Five-Fourteen
36,0,0,Seventeen-Seventeen-Seventeen
9,17,30,Fourteen-Thirty Five-Fourteen
14,0,12,DAP
35,0,23,Fourteen-Thirty Five-Fourteen
38,0,12,DAP
8,0,31,Twenty-Twenty
23,0,31,Twenty Eight-Twenty Eight
7,0,33,Twenty-Twenty
9,0,38,Fourteen-Thirty Five-Fourteen
13,0,15,DAP
12,0,18,Fourteen-Thirty Five-Fourteen
35,14,15,Twenty-Twenty
14,19,22,Urea
37,0,24,Urea
23,7,14,Urea
11,0,0,Twenty Eight-Twenty Eight
8,0,0,Fourteen-Thirty Five-Fourteen
23,0,20,Seventeen-Seventeen-Seventeen
10,12,36,Fourteen-Thirty Five-Fourteen
10,0,16,DAP
11,9,31,DAP
8,0,33,Fourteen-Thirty Five-Fourteen
38,17,13,Twenty Eight-Twenty Eight
15,0,15,Urea
35,0,30,DAP
14,17,11,Fourteen-Thirty Five-Fourteen
22,14,41,Fourteen-Thirty Five-Fourteen
35,17,10,Seventeen-Seventeen-Seventeen
39,15,16,Twenty-Twenty
13,0,15,Twenty-Twenty
9,0,19,Urea
38,0,15,Fourteen-Thirty Five-Fourteen
21,0,36,Twenty Eight-Twenty Eight
6,0,14,Fourteen-Thirty Five-Fourteen
8,0,36,DAP
10,13,36,Twenty Eight-Twenty Eight
12,19,0,Fourteen-Thirty Five-Fourteen
23,0,40,DAP
36,9,21,Twenty Eight-Twenty Eight
11,0,38,Urea
9,10,16,DAP
15,19,33,Fourteen-Thirty Five-Fourteen
13,12,36,DAP
14,19,0,Twenty Eight-Twenty Eight
15,0,30,Fourteen-Thirty Five-Fourteen
35,0,40,DAP
10,7,20,Twenty Eight-Twenty Eight
40,0,14,Urea
35,0,0,Fourteen-Thirty Five-Fourteen
38,9,21,Twenty Eight-Twenty Eight
38,0,15,Twenty-Twenty
21,0,0,Fourteen-Thirty Five-Fourteen
14,0,13,Twenty-Twenty
24,0,20,Urea
37,0,20,DAP
23,9,0,DAP
9,18,40,Seventeen-Seventeen-Seventeen
10,0,19,Ten-Twenty Six-Twenty Six
35,0,14,Twenty-Twenty
8,9,11,Urea
12,0,23,DAP
12,0,21,Seventeen-Seventeen-Seventeen
35,0,29,Seventeen-Seventeen-Seventeen
41,0,38,Twenty-Twenty
7,17,20,Twenty Eight-Twenty Eight
14,12,33,DAP
14,0,41,Twenty Eight-Twenty Eight
36,0,0,Twenty Eight-Twenty Eight
12,0,0,Seventeen-Seventeen-Seventeen
6,8,31,DAP
9,0,11,Fourteen-Thirty Five-Fourteen
13,0,12,Twenty-Twenty
38,0,35,Fourteen-Thirty Five-Fourteen
7,7,30,DAP
35,0,30,DAP
36,9,15,Twenty-Twenty
12,10,16,Seventeen-Seventeen-Seventeen
11,18,13,Ten-Twenty Six-Twenty Six
9,0,16,DAP
11,14,20,Fourteen-Thirty Five-Fourteen
6,0,15,Seventeen-Seventeen-Seventeen
23,0,38,DAP
37,0,39,Twenty-Twenty
10,0,0,Urea
13,0,36,Twenty-Twenty
12,0,36,Twenty-Twenty
38,0,0,Twenty-Twenty
11,0,20,Fourteen-Thirty Five-Fourteen
41,0,20,DAP
5,0,30,Urea
41,7,15,Urea
11,0,41,Twenty Eight-Twenty Eight
11,0,28,Twenty-Twenty
39,0,31,DAP
13,0,40,Urea
7,0,0,Seventeen-Seventeen-Seventeen
21,0,23,Urea
14,0,19,Twenty Eight-Twenty Eight
38,15,19,Fourteen-Thirty Five-Fourteen
23,0,0,Ten-Twenty Six-Twenty Six
22,0,22,Ten-Twenty Six-Twenty Six
8,0,14,Ten-Twenty Six-Twenty Six
13,14,23,Twenty Eight-Twenty Eight
10,0,11,DAP
23,9,14,Twenty-Twenty
11,8,0,DAP
24,0,12,Seventeen-Seventeen-Seventeen
21,7,19,Twenty-Twenty
9,9,16,Urea
6,0,21,DAP
12,8,20,Ten-Twenty Six-Twenty Six
36,0,19,Urea
14,0,15,DAP
12,0,29,Fourteen-Thirty Five-Fourteen
15,0,8,Twenty Eight-Twenty Eight
23,17,31,DAP
9,0,15,Fourteen-Thirty Five-Fourteen
8,0,0,Fourteen-Thirty Five-Fourteen
21,13,41,Urea
35,0,20,Urea
24,0,14,Seventeen-Seventeen-Seventeen
15,13,0,DAP
23,15,0,DAP
10,0,0,Fourteen-Thirty Five-Fourteen
13,0,20,Ten-Twenty Six-Twenty Six
12,13,0,Twenty-Twenty
24,0,40,Twenty Eight-Twenty Eight
21,0,18,Twenty-Twenty
12,0,15,Ten-Twenty Six-Twenty Six
23,0,0,Fourteen-Thirty Five-Fourteen
38,0,13,Fourteen-Thirty Five-Fourteen
12,0,22,Ten-Twenty Six-Twenty Six
35,0,14,Twenty Eight-Twenty Eight
10,0,40,Twenty Eight-Twenty Eight
41,0,41,Twenty Eight-Twenty Eight
5,0,15,Twenty-Twenty
10,19,29,DAP
11,8,14,DAP
14,0,21,Urea
13,0,13,Seventeen-Seventeen-Seventeen
8,0,0,Fourteen-Thirty Five-Fourteen
6,0,15,Twenty-Twenty
24,0,0,Fourteen-Thirty Five-Fourteen
15,12,22,Fourteen-Thirty Five-Fourteen
41,0,13,DAP
36,0,22,Urea
5,0,13,Fourteen-Thirty Five-Fourteen
41,0,24,Seventeen-Seventeen-Seventeen
9,7,0,Fourteen-Thirty Five-Fourteen
10,0,10,Seventeen-Seventeen-Seventeen
15,0,30,Fourteen-Thirty Five-Fourteen
10,0,22,Seventeen-Seventeen-Seventeen
24,0,20,Fourteen-Thirty Five-Fourteen
35,0,14,Ten-Twenty Six-Twenty Six
22,0,12,Urea
37,9,10,Twenty-Twenty
14,9,20,Fourteen-Thirty Five-Fourteen
41,13,28,Twenty Eight-Twenty Eight
22,10,10,Seventeen-Seventeen-Seventeen
12,0,31,Fourteen-Thirty Five-Fourteen
14,0,14,DAP
15,0,39,Seventeen-Seventeen-Seventeen
11,18,12,Urea
21,0,37,Urea
41,0,20,Ten-Twenty Six-Twenty Six
23,0,15,Fourteen-Thirty Five-Fourteen
8,0,0,Fourteen-Thirty Five-Fourteen
13,0,22,Urea
10,0,0,Fourteen-Thirty Five-Fourteen
11,0,0,DAP
13,0,28,Twenty Eight-Twenty Eight
10,0,0,DAP
41,0,28,Urea
41,0,0,DAP
10,0,0,Twenty-Twenty
42,0,0,Seventeen-Seventeen-Seventeen
9,0,35,Twenty-Twenty
36,0,19,Seventeen-Seventeen-Seventeen
22,0,41,Seventeen-Seventeen-Seventeen
9,0,0,Twenty-Twenty
12,8,21,Twenty Eight-Twenty Eight
12,0,0,DAP
41,0,0,Urea
41,0,12,DAP
9,0,9,Urea
12,10,13,Urea
15,8,0,Fourteen-Thirty Five-Fourteen
24,0,8,Twenty Eight-Twenty Eight
37,19,29,Twenty Eight-Twenty Eight
8,0,0,Urea
7,0,15,DAP
23,8,19,Urea
11,8,24,Twenty-Twenty
12,7,20,Fourteen-Thirty Five-Fourteen
9,0,9,Urea
14,18,14,Seventeen-Seventeen-Seventeen
15,0,35,Twenty Eight-Twenty Eight
9,0,0,Seventeen-Seventeen-Seventeen
9,0,21,Urea
23,0,36,Urea
24,0,0,Twenty-Twenty
5,0,20,Urea
13,0,20,Urea
12,0,32,DAP
22,0,0,Twenty-Twenty
8,9,0,Fourteen-Thirty Five-Fourteen
24,0,0,DAP
22,0,23,Urea
40,0,20,Seventeen-Seventeen-Seventeen
6,0,12,Urea
5,0,19,Ten-Twenty Six-Twenty Six
36,0,19,Fourteen-Thirty Five-Fourteen
10,8,0,DAP
12,0,13,Seventeen-Seventeen-Seventeen
8,10,20,Urea
41,0,36,Seventeen-Seventeen-Seventeen
12,0,22,Seventeen-Seventeen-Seventeen
9,0,14,Urea
14,0,42,DAP
12,7,14,DAP
8,0,0,Urea
8,7,20,Twenty Eight-Twenty Eight
9,0,14,Urea
23,0,0,Seventeen-Seventeen-Seventeen
8,0,30,Fourteen-Thirty Five-Fourteen
36,0,29,DAP
12,0,29,Urea
41,9,9,DAP
9,0,15,DAP
6,0,39,Twenty Eight-Twenty Eight
39,8,42,Fourteen-Thirty Five-Fourteen
8,0,13,Twenty Eight-Twenty Eight
11,14,40,Twenty Eight-Twenty Eight
13,0,16,Urea
42,0,0,Fourteen-Thirty Five-Fourteen
14,0,30,Twenty-Twenty
14,17,38,Urea
15,9,0,Twenty-Twenty
14,0,20,Urea
11,8,37,Seventeen-Seventeen-Seventeen
7,0,24,DAP
21,0,11,Twenty-Twenty
7,0,12,Twenty Eight-Twenty Eight
10,0,0,Urea
9,8,38,Twenty Eight-Twenty Eight
10,0,30,Seventeen-Seventeen-Seventeen
24,0,0,DAP
41,0,0,Fourteen-Thirty Five-Fourteen
5,12,29,Ten-Twenty Six-Twenty Six
21,0,0,Twenty Eight-Twenty Eight
12,0,10,Urea
9,0,20,Twenty Eight-Twenty Eight
23,0,0,DAP
8,0,20,DAP
10,0,9,Fourteen-Thirty Five-Fourteen
41,10,13,Fourteen-Thirty Five-Fourteen
24,0,19,Urea
9,0,40,Twenty Eight-Twenty Eight
13,0,24,Twenty Eight-Twenty Eight
12,0,0,Twenty-Twenty
7,16,0,Fourteen-Thirty Five-Fourteen
12,0,0,Twenty Eight-Twenty Eight
38,0,42,Urea
10,0,20,DAP
15,0,24,DAP
37,0,14,Twenty Eight-Twenty Eight
24,0,22,Twenty-Twenty
15,0,0,Twenty-Twenty
37,0,0,Twenty-Twenty
14,0,28,Urea
24,0,36,Urea
39,0,20,Seventeen-Seventeen-Seventeen
24,0,0,DAP
35,0,29,Ten-Twenty Six-Twenty Six
38,0,30,Fourteen-Thirty Five-Fourteen
8,0,22,Twenty-Twenty
